Country,ISO2,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Malaysia,MY,-0.07,-0.085,-0.107,0.036,-0.231,0.131,-0.134,-0.108,0.225,0.115,-0.243,0.049,0.262,-0.193,-0.029,-0.239,0.073,0.249,0.379,0.292,0.256,0.27,0.689,0.052,0.244,0.281,0.59,0.525,0.181,0.548,0.464,0.429,0.278,0.42,0.544,0.481,0.69,1.279,0.483,0.449,0.689,0.785,0.781,0.755,0.938,0.707,0.763,0.628,0.865,1.111,0.754,0.901,1.121,1.199,1.372,1.836,1.419,1.443,1.7,1.688,1.473,1.367
Maldives,MV,-0.301,-0.061,0.213,-0.13,-0.299,0.42,-0.155,-0.23,0.241,0.365,-0.007,0.21,0.574,-0.148,-0.318,0.005,0.011,-0.158,0.073,0.15,0.092,0.269,0.413,0.169,-0.072,0.149,0.595,0.787,-0.005,0.528,0.566,0.174,0.209,0.409,0.681,0.418,0.573,0.917,0.297,0.255,0.46,0.618,0.518,0.387,0.775,0.317,0.363,0.169,0.53,0.683,0.561,0.573,0.662,0.766,0.982,1.555,1.126,0.84,1.131,1.17,1.122,0.784
Mali,ML,-0.301,-0.145,0.213,-0.13,-0.299,0.005,-0.124,-0.287,0.665,0.365,-0.007,0.278,0.508,-0.435,-0.471,-0.374,0.362,0.36,0.646,0.97,0.395,0.264,0.83,0.609,0.512,0.304,1.081,0.784,0.107,0.903,0.685,0.194,1.026,0.206,0.57,1.161,0.87,1.214,0.375,0.647,0.583,1.246,1.238,1.214,1.396,1.097,0.933,0.548,0.96,1.63,1.207,0.426,0.969,0.787,1.017,1.089,1.347,1.04,1.089,1.01,1.687,0.887
Malta,MT,0.551,0.35,-0.204,0.26,-0.218,0.149,0.131,-0.033,-0.129,-0.144,-0.272,-0.294,-0.003,-0.251,-0.383,-0.706,0.304,-0.602,0.036,-0.504,-0.344,0.623,0.037,-0.267,0.426,0.4,0.525,1.194,0.206,1.235,0.147,0.275,0.625,1.421,0.461,0.639,1.054,0.876,1.268,1.055,1.669,0.942,1.401,0.699,0.67,0.996,1.398,1.271,1.08,1.243,1.013,1.44,1.343,1.507,1.403,1.748,1.224,1.441,1.29,1.643,2.123,1.955
Martinique,MQ,-0.04,0.151,0.243,0.062,-0.283,0.067,-0.246,-0.213,0.403,0.186,-0.193,-0.047,0.158,-0.395,-0.394,-0.415,0.02,0.082,0.166,0.401,0.406,0.074,0.433,-0.029,-0.06,0.017,0.591,0.404,-0.001,0.424,0.445,0.405,0.487,0.565,0.67,0.433,0.591,1.003,0.477,0.262,0.506,0.681,0.802,0.515,0.834,0.736,0.846,0.407,0.553,1.177,0.596,0.699,0.714,0.674,0.892,1.034,0.8,0.54,0.752,1.092,0.716,0.684
"Mauritania, Islamic Rep. of",MR,-0.047,0.14,0.103,0.057,-0.53,0.112,-0.248,-0.481,0.612,0.701,-0.311,-0.052,0.496,-0.679,-0.314,-0.556,0.654,0.569,0.987,0.911,0.91,0.593,1.623,0.571,0.592,0.293,1.562,0.875,0.737,1.481,0.87,0.89,0.99,0.673,1.222,1.555,1.321,1.801,0.539,1.2,1.36,1.353,1.36,1.49,1.389,1.444,1.06,1.321,0.968,2.02,1.671,0.942,1.588,1.48,1.563,1.825,2.141,1.086,1.435,1.919,1.855,1.711
Mauritius,MU,0.524,-0.111,-0.155,-0.246,-0.208,-0.019,0.12,-0.213,0.296,0.333,-0.32,0.133,-0.075,-0.686,-0.105,0.018,0.556,0.345,0.369,0.411,0.199,0.316,0.286,-0.21,-0.06,0.181,0.656,0.443,0.063,0.22,0.492,0.157,0.179,0.466,0.314,0.042,0.585,0.827,0.211,0.173,0.499,0.401,0.69,0.313,0.381,0.312,0.537,0.294,0.797,1.076,0.865,0.665,0.797,0.905,1.158,1.084,1.319,1.051,1.462,1.109,0.987,0.595
Mayotte,YT,0.444,0.028,-0.152,-0.14,-0.497,0.113,0.184,-0.453,0.151,0.168,-0.74,-0.171,0.195,-0.494,-0.182,-0.495,-0.012,0.304,0.232,0.361,0.237,0.611,0.366,-0.416,-0.114,0.084,0.466,0.448,-0.164,0.234,0.378,0.215,0.324,0.621,0.441,0.079,0.448,0.873,0.317,0.086,0.248,0.694,0.367,0.234,0.369,0.173,0.594,0.383,0.704,0.947,0.684,0.614,0.49,0.685,0.911,0.815,1.04,0.823,1.383,1.133,0.824,0.678
Mexico,MX,-0.145,0.19,0.23,-0.284,-0.057,-0.238,-0.098,-0.414,0.179,-0.3,-0.066,0.304,-0.167,-0.088,-0.332,-0.495,-0.012,0.166,-0.08,0.38,0.162,0.573,0.024,-0.102,0.097,0.298,-0.119,0.174,0.493,0.274,0.268,0.086,0.327,0.711,0.81,0.567,0.5,0.736,0.642,0.634,0.549,0.73,0.894,0.365,0.806,0.93,0.503,0.558,1.053,0.306,1.026,0.948,0.798,0.911,1.141,1.346,1.629,1.24,1.378,1.726,1.163,1.249
Monaco,MC,0.739,-0.048,-0.631,0.408,-0.464,0.21,0.432,0.013,-0.228,-0.017,0.002,-0.114,0.288,-0.086,0.195,0.044,-0.039,-0.403,-0.018,-0.353,-0.083,0.55,0.494,-0.603,-0.106,0.433,0.196,0.758,0.908,1.284,0.107,0.651,0.461,1.302,0.672,0.211,1.297,0.922,0.924,1.112,1.381,0.916,1.645,0.851,0.806,1.183,1.643,1.103,1.468,0.452,1.403,1.396,0.724,1.811,1.902,1.773,1.962,1.94,1.919,2.2,1.5,2.737
Mongolia,MN,0.17,-0.106,1.202,-0.174,0.857,0.371,-0.458,-0.813,-0.861,-0.306,-0.038,0.234,0.689,0.193,0.49,-0.2,0.065,0.908,0.951,0.473,0.217,1.135,0.601,-0.353,-0.444,0.361,0.166,0.63,1.334,1.53,1.08,0.81,0.454,1.329,1.268,0.41,1.933,2.117,1.764,0.98,1.684,1.786,0.49,1.76,0.923,1.221,2.729,1.759,1.397,0.306,0.757,0.23,1.024,1.879,2.131,1.391,2.493,2.207,1.847,2.353,1.994,2.197
Montserrat,MS,0.09,0.031,0.288,0.214,-0.385,0.097,-0.192,-0.225,0.271,0.109,-0.233,-0.214,0.164,-0.377,-0.419,-0.467,0.076,0.161,0.16,0.646,0.564,0.162,0.489,0.009,-0.051,-0.023,0.649,0.395,-0.077,0.417,0.459,0.445,0.528,0.493,0.677,0.377,0.455,1.046,0.541,0.335,1.745,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862,0.77
Morocco,MA,0.57,0.401,0.179,0.486,-0.286,0.433,-0.032,-0.151,0.03,0.108,-0.775,-1.303,0.062,-0.402,-0.221,-0.819,0.041,0.316,0.438,0.548,0.414,0.431,0.724,0.208,0.797,0.19,0.993,0.837,0.665,1.409,0.133,0.246,0.222,1.019,1.174,0.936,1.271,1.483,0.976,0.845,1.745,1.108,1.593,1.029,1.188,1.389,0.93,1.069,1.16,2.02,1.698,1.299,1.233,1.603,1.115,1.84,2.131,0.597,1.466,2.107,1.798,2.303
"Mozambique, Rep. of",MZ,0.391,0.031,-0.435,-0.18,-0.596,0.143,0.12,-0.373,0.289,0.228,-0.142,-0.222,0.262,-0.295,-0.163,-0.142,0.468,0.364,0.129,0.093,-0.188,-0.04,0.918,0.263,-0.008,0.103,0.679,0.588,0.092,0.368,0.125,0.759,0.299,0.087,0.555,0.111,0.209,0.949,0.288,0.375,0.481,0.683,0.589,0.437,1.045,0.581,0.647,0.384,0.585,1.105,0.812,0.746,0.479,0.716,1.034,1.262,0.837,0.81,1.209,1.026,0.687,0.834
Myanmar,MM,-0.024,-0.112,-0.169,0.036,-0.315,0.377,-0.058,-0.17,0.187,-0.044,-0.414,-0.013,0.263,-0.252,0.183,-0.391,-0.117,0.076,0.516,0.298,0.299,0.08,0.156,0.086,0.19,0.091,0.569,0.408,0.338,0.215,0.509,0.101,0.126,0.494,0.654,0.439,0.272,1.192,0.926,0.223,0.634,0.676,0.653,0.6,0.932,0.855,0.507,0.495,0.918,1.203,0.51,0.915,0.986,0.902,1.245,1.443,1.328,1.064,1.726,1.669,1.656,1.436
Namibia,NP,0.184,-0.051,0.071,-0.081,-0.083,0.106,-0.159,-0.206,0.159,0.427,-0.157,0.033,0.624,-0.71,0.024,-0.539,0.2,-0.066,0.432,0.269,0.1,0.431,0.769,0.853,0.591,0.38,1.1,0.482,-0.289,0.726,0.211,0.658,0.702,0.315,1.004,0.19,0.048,1.284,0.85,-0.041,0.414,0.918,1.293,0.858,0.815,-0.079,0.997,0.672,0.462,1.214,-0.478,-0.128,0.759,0.439,1.215,1.473,0.818,1.11,1.821,0.601,-0.059,0.239
Nepal,NP,0.13,-0.448,-0.184,0.177,-0.356,0.247,-0.254,-0.394,0.119,0.128,-0.561,0.024,0.161,0.15,-0.128,-0.035,-0.022,-0.41,0.318,0.121,-0.087,-0.164,-0.423,-0.079,0.324,-0.063,0.349,0.595,0.079,-0.035,0.075,-0.073,-0.177,0.158,0.305,0.208,-0.413,0.313,0.64,0.082,0.448,0.551,0.306,0.351,0.678,0.796,0.727,0.347,1.119,1.138,0.231,0.402,0.189,0.337,0.654,1.169,1.071,0.627,0.854,0.229,0.632,1.132
"Netherlands, The",NL,0.852,-0.908,-1.27,-0.337,-0.728,0.273,0.757,0.156,-0.007,-0.59,0.045,-0.116,0.29,0.23,1.035,0.709,0.159,-0.068,-0.902,0.01,0.339,0.47,0.87,0.062,-0.851,-0.197,-0.503,0.796,1.541,1.567,0.265,1.184,0.25,1.367,1.542,-0.779,0.611,1.068,1.574,1.595,1.266,1.526,1.207,1.16,1.252,1.507,2.074,1.432,1.223,0.1,1.071,1.149,0.427,2.564,1.29,1.936,1.731,2.135,2.142,2.483,1.316,2.601
New Caledonia,NC,-0.248,0.081,-0.211,0.164,-0.806,-0.638,0.032,-0.429,-0.167,0.454,0.128,-0.207,0.799,0.293,0.23,0.155,0.159,0.292,0.208,0.421,0.377,0.194,0.692,0.328,0.509,0.366,0.069,1.05,0.479,0.764,0.35,0.467,0.27,0.228,1.01,1.204,0.549,2.002,1.229,0.759,1.027,1.03,0.788,0.913,0.762,0.683,1.146,1.129,0.909,1.254,1.022,0.87,1.026,1.005,1.215,2.026,1.768,1.384,1.303,1.764,1.689,2.421
New Zealand,NZ,-0.282,0.581,-0.356,-0.455,-0.451,-0.233,-0.184,-0.086,-0.374,0.596,0.684,0.119,0.196,0.363,0.588,-0.51,-0.388,0.387,0.316,0.007,0.427,-0.062,-0.294,0.174,0.398,0.382,0.397,0.488,0.736,0.572,-0.028,-0.716,-0.38,-0.077,0.108,0.244,-0.128,0.981,1.009,0.265,0.572,0.42,0.238,0.033,0.443,0.391,0.237,0.564,0.059,0.598,0.673,0.125,0.999,0.544,0.568,1.214,0.627,1.173,1.118,0.912,0.982,1.319
Nicaragua,NI,-0.089,-0.329,-0.203,-0.107,0.041,0.185,-0.269,-0.235,0.291,-0.206,-0.293,0.163,0.434,-0.252,0.061,-0.072,0.269,0.205,0.177,0.511,0.255,0.659,0.786,0.04,0.107,0.171,0.422,0.505,0.158,0.35,0.497,0.487,0.317,0.707,0.898,0.077,0.808,1.087,0.169,0.142,0.502,0.79,0.738,0.576,0.841,0.707,0.844,0.567,0.821,0.868,0.695,0.683,1.201,0.802,1.018,1.315,1.025,0.9,1.161,1.526,1.026,0.842
Niger,NE,-0.694,-0.135,0.434,-0.261,-0.007,-0.092,-0.364,0.08,0.766,0.051,-0.092,0.334,0.445,0.008,-0.409,0.288,-0.357,0.192,0.714,0.518,0.04,0.371,0.029,0.607,0.284,0.733,0.655,0.587,-0.384,0.48,0.862,-0.286,0.403,0.205,0.373,1.054,0.688,0.652,0.549,0.677,0.165,0.542,0.778,0.545,1.169,1.179,0.872,0.283,1.313,1.557,0.956,0.588,0.809,0.987,0.832,0.933,0.843,1.065,0.943,0.776,1.425,0.428
Nigeria,NG,-0.241,-0.247,0.271,-0.257,-0.037,-0.063,-0.317,-0.035,0.393,0.218,-0.053,0.074,0.791,0.135,-0.278,0.038,0.286,0.004,0.508,0.375,0.155,0.36,0.238,0.794,0.389,0.544,0.823,0.501,-0.412,0.582,0.621,-0.122,0.497,0.424,0.38,0.748,0.646,1.034,0.766,0.526,0.225,0.776,0.776,0.698,1.182,1.204,0.816,0.585,1.301,1.426,0.852,0.526,0.922,1.012,1.187,1.168,1.17,1.093,1.229,1.127,1.559,0.791
Norfolk Island,NF,-0.315,0.396,0.1,0.17,-0.452,-0.265,0.201,-0.005,-0.365,0.446,0.378,-0.088,0.758,0.969,1.058,-0.179,-0.246,-0.118,0.015,-0.032,0.195,-0.042,0.269,0.149,0.212,0.282,-0.015,0.8,0.516,0.486,0.131,-0.143,-0.107,-0.161,0.463,0.818,-0.165,1.409,1.257,-0.051,0.25,0.166,0.045,0.294,0.326,0.208,0.294,0.183,0.232,0.47,0.571,0.101,0.153,-0.005,0.532,1.05,0.717,0.7,0.667,0.705,0.613,1.225
Norway,NO,1.239,-0.776,-0.13,0.373,-0.264,-1.642,0.558,-0.937,-0.173,-0.695,-0.079,0.931,0.918,0.969,1.058,-0.041,-0.552,-0.101,-1.07,-0.313,-0.494,-0.054,0.633,0.532,-0.594,-0.43,-0.83,0.476,1.741,1.517,0.977,1.121,0.697,0.065,0.944,-0.06,0.761,0.383,1.257,1.427,0.613,1.386,1.089,1.3,1.759,1.504,1.702,1.619,1.393,-0.341,1.398,1.063,0.791,2.412,1.781,1.718,1.551,1.485,1.208,2.389,1.499,1.918
Oman,OM,-0.274,0.338,0.393,-0.478,-0.315,0.18,0.034,-0.614,0.247,0.855,0.08,-0.1,-0.172,-0.137,-0.225,0.221,0.575,0.138,0.138,-0.02,0.223,-0.418,-0.698,-0.706,-0.104,-0.042,0.07,0.201,-0.347,0.061,-0.304,-0.55,0.247,0.126,-0.018,-0.114,-0.227,0.745,0.578,0.554,0.661,0.891,0.838,0.778,0.814,0.838,0.652,0.537,0.728,1.104,0.84,0.754,0.473,0.485,1.213,0.933,1.421,1.121,0.89,0.496,1.329,1.055
Pakistan,PK,-0.272,-0.242,0.422,-0.379,-0.279,-0.142,-0.319,-0.47,0.247,0.556,0.198,-0.476,0.117,-0.176,-0.584,-0.271,0.352,-0.006,-0.005,0.485,0.31,-0.37,-0.399,-0.206,0.221,-0.288,0.161,0.72,-0.313,0.339,-0.306,-0.413,0.415,0.162,-0.116,-0.152,-0.386,0.436,0.823,0.668,0.762,1.021,0.527,1.006,0.211,1.023,0.65,0.362,1.034,1.29,0.833,0.263,0.778,0.358,0.529,1.233,1.252,1.359,0.566,0.394,1.121,1.389
Panama,PA,-0.162,0.241,0.009,0.105,-0.216,0.117,-0.215,-0.14,0.259,0.117,-0.334,0.072,0.164,-0.377,-0.401,-0.024,0.23,0.12,0.198,0.481,0.294,0.444,0.919,-0.004,-0.156,0.069,0.566,0.183,0.085,0.394,0.531,0.403,0.459,0.456,0.591,0.3,0.647,0.991,-0.088,0.144,0.551,0.883,0.926,0.729,0.741,0.744,0.654,0.435,0.953,0.978,0.585,0.88,0.999,1.014,1.232,1.171,0.94,1.283,1.43,1.481,1.199,0.728
Papua New Guinea,PG,-0.162,0.241,0.009,0.105,-0.493,-0.07,-0.22,-0.037,0.123,0.201,0.005,-0.344,0.153,0.022,0.016,-0.296,-0.086,0.212,0.117,0.207,0.293,-0.091,0.367,0.307,0.222,0.341,0.38,0.666,0.424,0.413,0.281,0.542,0.364,0.356,0.654,0.551,0.079,1.012,0.311,0.377,0.496,0.671,0.519,0.234,0.658,0.252,0.438,0.342,0.317,1.007,0.388,0.295,0.8,0.393,0.16,1.129,0.79,0.662,0.695,1.082,1.18,1.221
Paraguay,PY,0.563,-0.663,0.903,-0.238,-0.079,-0.088,0.481,-0.041,0.384,0.261,-0.385,0.42,0.094,-0.265,-0.121,-0.435,0.7,0.658,0.096,0.187,0.387,0.356,-0.312,0.482,0.37,0.835,0.173,-0.073,-0.109,0.016,0.648,-0.39,0.208,0.865,0.542,0.095,0.869,0.176,0.004,0.101,0.609,1.074,0.721,0.394,0.511,0.915,0.252,0.259,0.897,0.326,0.601,0.825,0.327,1.119,1.493,0.25,1.15,0.539,1.276,1.369,0.696,0.649
Peru,PE,0.001,-0.116,0.085,-0.203,0.2,0.095,-0.25,-0.312,0.509,0.002,-0.454,0.19,0.128,-0.281,-0.28,-0.111,0.282,0.075,0.241,0.361,0.059,0.183,1.303,0.228,0.115,0.154,0.884,0.511,0.056,0.359,0.501,0.816,0.494,0.511,0.798,0.158,0.855,1.29,0.232,0.325,0.49,0.754,0.769,0.682,0.813,0.809,0.555,0.604,0.869,1.063,0.791,0.808,0.647,0.883,1.256,1.454,0.978,0.734,1.048,1.778,1.287,0.878
Philippines,PH,-0.143,-0.113,-0.357,-0.04,-0.29,0.165,-0.148,-0.115,0.132,0.203,-0.324,0.026,0.319,-0.05,0.083,-0.141,0.288,0.181,0.355,0.136,0.228,0.154,0.602,0.148,0.345,0.266,0.563,0.799,0.281,0.412,0.359,0.379,0.385,0.501,0.528,0.427,0.489,1.322,0.561,0.673,0.825,0.733,0.795,0.687,0.782,0.831,0.875,0.574,0.718,1.065,0.62,0.912,1.057,0.96,1.155,1.603,1.3,1.329,1.407,1.56,1.431,1.405
"Poland, Rep. of",PL,1.397,-0.515,-0.885,-0.72,-1.064,0.554,1.134,0.458,-0.493,-1.288,0.133,0.477,0.419,0.488,1.485,-0.295,0.424,-0.233,-0.774,-0.76,0.436,0.324,1.452,0.238,-1.046,0.015,-1.081,0.681,1.695,1.709,0.407,1.142,0.065,1.371,1.11,-0.787,0.011,0.947,1.203,1.887,1.285,1.7,0.366,0.781,0.881,0.835,2.147,1.752,1.274,0.403,0.765,1.383,0.651,2.38,2.013,2.056,1.475,2.434,2.652,2.677,1.466,2.056
Portugal,PT,0.815,0.524,-0.086,0.519,-0.23,0.28,-0.041,0.033,-0.342,0.071,-0.87,-0.906,-0.063,-0.439,-0.09,-0.357,-0.272,0.167,0.169,0.282,0.546,0.56,0.286,-0.12,0.528,0.094,0.752,0.637,1.117,1.401,0.44,0.434,-0.199,0.684,1.663,0.756,1.601,1.212,0.634,0.665,1.165,0.681,1.458,1.062,1.032,1.561,0.775,0.649,1.423,1.122,1.615,0.797,0.941,1.349,1.405,1.682,2.109,0.906,1.291,1.99,1.251,2.318
Puerto Rico,PR,-0.011,-0.098,0.129,0.106,-0.384,-0.044,-0.241,-0.252,0.383,0.021,-0.325,-0.071,0.255,-0.367,-0.177,-0.391,0.202,0.306,0.092,0.582,0.568,0.155,0.543,0.146,-0.049,0.105,0.597,0.528,0.081,0.522,0.411,0.302,0.512,0.71,0.73,0.444,0.654,1.243,0.672,0.273,0.743,0.893,1.06,0.567,0.865,0.821,1.071,0.52,0.651,1.177,0.531,0.762,0.774,0.869,1.093,1.203,0.967,0.848,0.95,1.349,0.922,0.848
Qatar,QA,-0.542,0.518,0.449,-0.4,0.386,0.439,-0.252,-0.536,0.668,0.267,-0.152,-0.731,-0.255,-0.336,-0.281,-0.556,0.274,0.149,0.765,0.389,0.417,-0.13,-0.826,0.039,0.357,0.51,0.385,0.494,-0.069,0.406,-0.151,-0.519,0.031,0.666,0.064,0.496,0.066,1.174,1.735,0.944,0.97,1.436,1.179,1.228,0.842,1.652,0.989,1.162,1.114,2.001,1.444,1.376,1.212,1.541,1.971,1.515,1.893,2.004,1.84,1.734,2.165,1.855
Romania,RO,1.075,0.169,-0.301,-0.791,-0.674,1.053,0.284,0.432,-0.589,-0.053,-0.021,0.382,-0.22,-0.097,0.806,-0.806,0.536,-0.828,0.156,-0.639,0.043,-0.058,0.837,-0.129,-1.193,0.431,-0.724,0.092,0.752,1.1,0.033,0.364,-0.428,1.72,0.409,-0.424,-0.422,0.785,0.62,1.338,1.537,1.22,0.145,0.556,0.298,0.514,2.126,1.335,1.617,1.167,0.497,1.828,1.37,1.552,1.799,1.876,1.153,2.266,2.241,2.256,1.447,1.949
Saint Helena,SH,0.144,-0.07,0.04,-0.026,-0.145,0.055,-0.306,0.195,0.045,-0.258,-0.206,0.546,-0.143,0.249,0.379,0.353,-0.046,0.093,0.032,0.279,0.105,0.107,0.454,0.678,0.398,0.789,0.327,0.527,0.2,0.752,0.643,0.245,0.736,0.986,0.658,0.451,0.895,1.22,1.39,1.465,1.074,1.167,1.385,1.43,1.321,1.595,1.021,1.099,1.668,1.135,1.447,1.255,1.218,1.322,1.902,1.647,1.37,1.609,1.645,1.407,1.747,1.686
Saint Pierre and Miquelon,PM,-0.04,-0.121,-0.19,-0.529,-0.51,0.099,0.183,0.053,0.562,0.953,0.268,-1.278,-0.809,-0.982,-0.731,-0.149,-0.148,-0.343,0.429,-0.236,0.971,-0.502,0.743,0.119,-1.048,-0.735,-0.073,0.197,-0.408,-0.739,-0.7,-1.344,-1.061,-0.297,-0.276,0.114,-0.37,0.736,1.663,1.095,0.522,0.009,0.166,0.562,0.898,1.813,0.385,0.444,0.69,1.311,1.147,1.992,1.292,0.375,0.106,0.854,0.36,0.682,0.05,0.742,2.32,1.944
Samoa,WS,0.067,-0.012,0.079,0.085,-0.306,0.073,-0.297,-0.224,0.216,0.22,-0.414,-0.084,0.196,-0.426,-0.239,-0.364,-0.007,-0.027,0.129,0.177,-0.023,0.172,0.246,0.048,0.046,0.166,0.099,0.399,-0.052,0.377,0.471,0.3,-0.169,0.262,0.665,0.703,0.919,1.113,0.163,0.537,0.815,1.063,0.633,0.105,0.735,0.325,0.942,0.578,1.362,1.246,0.719,0.834,1.167,1.071,0.91,1.44,1.336,1.09,1.44,1.332,1.169,1.156
"San Marino, Rep. of",SM,0.925,-0.116,-0.388,-0.098,-0.406,0.403,0.385,-0.028,-0.103,-0.096,-0.132,-0.043,0.003,-0.038,0.254,-0.425,0.337,-0.585,0.028,-0.454,-0.328,0.407,0.426,-0.58,0.178,0.338,0.103,0.771,0.278,1.001,-0.085,0.508,0.546,1.516,0.288,0.199,0.919,1.113,0.846,1.403,1.684,1.135,1.636,0.852,0.408,0.832,1.808,1.26,1.362,0.696,1.28,1.687,0.992,1.607,1.833,1.768,1.7,1.971,1.822,1.995,1.529,2.115
"São Tomé and Príncipe, Dem. Rep. of",ST,-0.108,-0.054,0.249,-0.148,-0.11,0.22,-0.074,-0.042,0.14,0.196,-0.085,-0.042,0.466,-0.097,-0.115,-0.351,0.198,0.127,0.379,0.248,0.202,-0.019,0.161,0.391,0.093,-0.098,0.43,0.375,-0.151,0.095,0.376,-0.07,0.374,0.274,0.845,0.58,0.01,1.175,0.881,0.408,0.319,0.779,1.013,0.835,0.684,0.696,0.919,0.644,0.891,1.049,0.735,0.802,0.851,0.945,0.866,1.56,1.289,1.007,1.393,1.624,1.398,1.321
Saudi Arabia,SA,-0.157,0.688,0.488,-0.47,0.16,0.65,-0.69,-0.391,0.529,0.363,-0.428,-0.559,-0.234,-0.241,-0.316,-0.405,0.139,-0.22,0.873,0.047,0.077,-0.397,-0.847,-0.309,-0.019,0.19,0.532,0.452,-0.112,0.095,0.376,-0.985,-0.186,0.655,0.193,0.58,0.01,1.035,1.489,0.787,0.884,1.092,0.981,0.975,0.542,1.202,0.706,0.906,1.028,2.18,0.893,1.241,1.204,1.249,1.867,1.533,1.78,1.887,1.69,1.488,2.203,1.745
Senegal,SN,-0.185,-0.023,0.082,-0.212,-0.449,-0.079,-0.433,-0.52,0.763,0.557,-0.036,0.38,0.713,-0.432,-0.235,-0.063,0.552,0.506,0.809,0.943,0.767,0.339,1.25,0.661,0.526,0.483,1.022,0.874,0.575,1.193,0.8,0.875,1.097,0.634,0.938,1.219,1.37,1.574,0.581,0.918,1.168,1.425,1.15,1.157,1.366,1.37,1.202,1.294,0.703,1.432,1.187,0.834,1.18,1.105,1.212,1.542,1.744,0.964,1.396,1.665,1.782,1.405
Seychelles,SC,0.317,0.088,-0.077,-0.164,-0.531,0.07,0.032,-0.148,0.209,0.32,-0.435,-0.372,0.181,-0.471,-0.274,-0.205,0.236,0.355,0.226,0.258,0.17,0.433,0.503,-0.294,-0.114,0.25,0.505,0.418,-0.112,0.239,0.439,0.179,0.23,0.507,0.432,0.114,0.598,0.968,0.295,0.406,0.734,0.518,0.719,0.304,0.513,0.537,0.813,0.5,0.82,1.019,0.927,0.922,0.749,0.863,1.169,1.1,1.184,0.917,1.377,1.434,1.032,0.872
Sierra Leone,SL,-0.101,-0.084,0.176,-0.156,-0.281,-0.001,-0.124,-0.058,0.278,0.353,-0.134,0.162,0.481,-0.018,-0.107,-0.195,0.196,0.257,0.572,0.431,0.28,0.352,0.571,0.377,0.254,-0.12,0.722,0.626,0.157,0.5,0.618,0.241,0.556,0.465,0.477,0.599,0.756,1.037,0.59,0.563,0.848,1.005,0.814,1.034,1.194,1.109,0.795,1.243,0.9,1.405,1.134,0.533,1.058,1.037,1.16,1.086,1.728,1.234,1.561,1.526,1.565,1.328
Solomon Islands,SB,0.097,0.093,-0.075,0.13,-0.478,-0.139,-0.138,-0.142,0.244,0.149,-0.121,-0.327,0.206,0.113,0.061,-0.055,0.493,0.346,0.27,0.208,0.475,-0.054,0.331,0.272,0.22,0.009,-0.016,0.645,0.158,0.108,0.26,0.492,0.057,0.043,0.643,0.402,0.293,0.654,0.249,0.563,0.83,0.82,0.592,0.752,0.792,0.549,0.962,0.677,0.319,0.69,0.797,0.887,0.789,0.766,0.674,1.267,1.623,0.709,1.528,1.185,0.955,1.038
Somalia,SO,0.333,-0.028,-0.211,0.027,-0.388,0.173,-0.09,-0.591,0.018,0.079,-0.245,0.298,0.571,-0.027,0.128,0.264,0.493,0.249,0.07,0.651,0.121,0.336,0.454,-0.001,0.007,0.097,0.869,0.719,-0.101,0.108,0.228,0.531,0.162,0.499,0.461,0.619,0.423,0.617,0.388,0.421,0.83,0.82,1.047,0.465,1.07,0.845,0.958,0.677,1.29,1.091,1.057,0.976,1.089,1.121,1.467,1.267,1.623,0.709,1.528,1.724,1.532,1.449
South Africa,ZA,0.251,0.215,0.185,-0.072,-0.025,0.246,-0.073,-0.376,0.287,0.365,-0.153,0.106,0.35,-0.245,-0.132,-0.504,0.171,0.059,0.317,0.237,-0.328,0.212,0.707,0.535,0.663,0.463,0.743,0.338,-0.034,0.324,0.367,0.807,0.836,0.208,0.633,-0.15,0.219,0.825,1.096,0.271,0.516,0.453,0.791,0.874,1.031,0.361,0.721,0.575,0.662,1.083,0.446,0.508,0.655,0.838,1.3,1.562,1.103,1.016,1.811,0.89,0.809,1.094
Spain,ES,0.728,0.411,-0.233,0.486,-0.2,0.392,0.146,0.093,-0.285,0.131,-0.741,-0.825,-0.164,-0.434,-0.091,-0.367,-0.16,0.101,0.276,0.186,0.344,0.709,0.55,-0.163,0.484,0.259,0.724,0.796,1.039,1.446,0.209,0.305,-0.059,1.044,1.444,0.722,1.535,1.189,0.814,0.81,1.406,0.812,1.598,1.004,0.902,1.526,0.835,0.864,1.36,0.908,1.613,1.043,0.906,1.603,1.533,1.714,2.036,1.149,1.534,2.083,1.431,2.489
